date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-03-30,7948,20988,5386,11250,15503,13553,32962,9442,15737,25480,5159,7775,30171,14586,20497,6215,57539,7148,17446,2843,6800,4801,40293,4723,59677,12252,11639,7242,27867,9789,8721,7511,9005,6931,2973,17817,1170,7643
2019-03-31,5958,19322,4283,8612,11466,10324,26682,7047,10572,19482,3978,5758,21778,12459,13748,4297,40798,5881,12047,2353,3466,4029,32874,3244,35186,7208,6892,4739,19686,7437,6567,5801,6603,4903,2334,13106,1242,6209
2019-04-01,13476,20950,6968,16517,20871,20570,46413,16381,23850,37987,8670,15921,41186,36584,52001,12708,62410,9515,26195,3862,6945,6460,31907,7303,67388,19814,19699,13706,34694,11163,11004,9928,11802,7539,3888,10078,2008,15445
2019-04-02,13248,20032,7085,16500,21697,21031,47619,16648,23991,38186,8976,16890,42828,39057,53712,12498,63390,9771,26507,4423,7113,6846,30966,7532,69898,20624,20486,14070,35002,10774,11130,9994,12015,7667,3983,10176,2060,15282
2019-04-03,13405,21420,7355,16724,21701,21027,47986,16597,23827,38814,8994,16278,43273,41050,54203,12425,64263,10021,26851,4409,7330,7024,31229,7398,71048,20451,20793,14066,39149,10548,11050,10138,12372,7665,4031,10689,2191,15313
2019-04-04,13462,22133,7079,16743,22021,20944,47835,16540,23976,39565,9029,16747,43903,44534,54734,12782,65724,9935,27383,4644,7056,7806,32896,7355,71958,20884,20771,13952,40302,9825,11181,10218,12763,7894,4025,10344,1987,16014
2019-04-05,13854,23327,7159,17141,22736,21576,49001,16565,24755,40076,9255,17347,45785,64301,60464,13194,70434,10013,26894,6180,7185,7687,43460,7878,80835,21658,21136,14374,44105,11474,11534,10666,14149,9063,4324,10867,2030,15293
2019-04-06,8716,21539,5387,11324,15864,13616,33721,9655,15514,27073,5424,8805,32619,47315,33068,7394,62644,7236,18080,6798,6824,5174,43718,4784,59687,11892,11542,6743,34881,7602,8703,8029,11740,7929,3124,12120,1161,8440
2019-04-07,7027,18981,4715,9707,13008,11279,25892,9644,12633,23474,4985,8712,27805,80350,37750,7485,51617,7290,14294,10802,3889,4996,37547,3710,39506,7681,7802,4572,25404,5797,6829,7000,12097,7037,3116,8131,1416,7842
2019-04-08,14064,21309,7136,16767,21292,20843,48138,16721,24325,39337,9155,17178,43679,65673,61247,13637,66336,10168,26994,7831,7126,6782,33171,7501,69767,20411,20343,13953,34769,9447,11021,10683,14172,8343,4267,10830,2045,16054
